place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url
ChIJ__RfF_8zWpMR-A9ULjiWusc,"Escola DR KIDS - Creche, berçário e educação infantil",False,OPERATIONAL,ChIJ__RfF_8zWpMR-A9ULjiWusc,"school,point_of_interest,establishment","Taguatinga Norte QNF 14 Casa 39 - Taguatinga, Brasília - DF, 72125-640",5,1,https://www.google.com/maps/place/?q=place_id:ChIJ__RfF_8zWpMR-A9ULjiWusc
ChIJ_7BjC2fMW5MRKbN_mtMlWts,Escola Classe 36,False,OPERATIONAL,ChIJ_7BjC2fMW5MRKbN_mtMlWts,"school,point_of_interest,establishment","St. P EQNP 9/5 Conjunto P - Ceilândia, Brasília - DF, 72240-415",3.5,8,https://www.google.com/maps/place/?q=place_id:ChIJ_7BjC2fMW5MRKbN_mtMlWts
ChIJ_QWmq-4yWpMRZV41ldzbJxc,EC 17 de Taguatinga,False,OPERATIONAL,ChIJ_QWmq-4yWpMRZV41ldzbJxc,"school,point_of_interest,establishment","Qsa 03/05 Ae, Taguatinga Sul - Taguatinga, Brasília - DF, 72015-050",5,6,https://www.google.com/maps/place/?q=place_id:ChIJ_QWmq-4yWpMRZV41ldzbJxc
ChIJ-emW3uoyWpMRuP2hZxRuhjQ,Colégio Saber,False,OPERATIONAL,ChIJ-emW3uoyWpMRuP2hZxRuhjQ,"school,point_of_interest,establishment","QSC 12 Lotes 1 e 3 - Taguatinga Sul (Brasil), Brasília - DF, 72016-120",4.3,20,https://www.google.com/maps/place/?q=place_id:ChIJ-emW3uoyWpMRuP2hZxRuhjQ
ChIJ0SkjuxwsWpMR_55XqkvISqw,CEM 03 de Taguatinga,False,OPERATIONAL,ChIJ0SkjuxwsWpMR_55XqkvISqw,"school,secondary_school,point_of_interest,establishment","Qse 05 - Taguatinga, Brasília - DF, 72025-050",3.8,36,https://www.google.com/maps/place/?q=place_id:ChIJ0SkjuxwsWpMR_55XqkvISqw
ChIJ1xjPWm8yWpMRWNFD7jDd7OM,Colégio Objetivo - Águas Claras,False,OPERATIONAL,ChIJ1xjPWm8yWpMRWNFD7jDd7OM,"primary_school,secondary_school,school,point_of_interest,establishment","R. 25 Norte, 3 - Águas Claras, Brasília - DF, 71917-180",3.6,41,https://www.google.com/maps/place/?q=place_id:ChIJ1xjPWm8yWpMRWNFD7jDd7OM
ChIJ22rLuBAyWpMRwOs4wygLnFc,Escola de Pais e Filhos,True,CLOSED_TEMPORARILY,ChIJ22rLuBAyWpMRwOs4wygLnFc,"school,point_of_interest,establishment","Lote 3 - Albany Medical Center - Rua 5 Norte, 310 - Águas Claras, Brasília - DF, 71907-720",5,1,https://www.google.com/maps/place/?q=place_id:ChIJ22rLuBAyWpMRwOs4wygLnFc
ChIJ28hLUugyWpMRQeZBDO25Jvo,Centro de Ensino Médio Escola Industrial de Taguatinga - CEMEIT,False,OPERATIONAL,ChIJ28hLUugyWpMRQeZBDO25Jvo,"school,secondary_school,point_of_interest,establishment","Qnb 01 Ae 01, Taguatinga Norte - Taguatinga, Brasília - DF, 72115-010",3.9,60,https://www.google.com/maps/place/?q=place_id:ChIJ28hLUugyWpMRQeZBDO25Jvo
ChIJ2TbZTyMzWpMR4aen2wAHR7g,Escola Cia. da Criança,True,CLOSED_TEMPORARILY,ChIJ2TbZTyMzWpMR4aen2wAHR7g,"school,point_of_interest,establishment","Lotes 02/04, Taguatinga Norte, Brasília - DF, 72125-080",4.7,3,https://www.google.com/maps/place/?q=place_id:ChIJ2TbZTyMzWpMR4aen2wAHR7g
ChIJ54pqliQyWpMR984iVFMxldU,Emi - Escola Multi Integral,False,OPERATIONAL,ChIJ54pqliQyWpMR984iVFMxldU,"school,point_of_interest,establishment","Quadra 5, Lote 1A Park Way, Smpw Trecho 3 Q 5 Conjunto 13 14, Brasília - DF, 71735-514",4.9,18,https://www.google.com/maps/place/?q=place_id:ChIJ54pqliQyWpMR984iVFMxldU
ChIJ56tXWNwyWpMRA9K_jJLIrPo,Caixa Escolar da Escola Classe 39 Tag,True,CLOSED_TEMPORARILY,ChIJ56tXWNwyWpMRA9K_jJLIrPo,"school,point_of_interest,establishment","Qnc 15 Área Especial 1 - Taguatinga, Brasília - DF",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ56tXWNwyWpMRA9K_jJLIrPo
ChIJ7QOzuW8yWpMR6a5pux6mJhU,Escola Técnica de Brasília,False,OPERATIONAL,ChIJ7QOzuW8yWpMR6a5pux6mJhU,"school,point_of_interest,establishment","Avenida Águas Claras QS 07, Lote 02/08 - Vila Areal, Brasília - DF, 70297-400",4.2,126,https://www.google.com/maps/place/?q=place_id:ChIJ7QOzuW8yWpMR6a5pux6mJhU
ChIJ7QZwiHgyWpMRlhSoDUWF2KA,Maple Bear Canadian School Águas Claras,False,OPERATIONAL,ChIJ7QZwiHgyWpMRlhSoDUWF2KA,"school,point_of_interest,establishment","QS 5 lote 4 - Águas Claras, Brasília - DF, 71955-000",4.1,9,https://www.google.com/maps/place/?q=place_id:ChIJ7QZwiHgyWpMRlhSoDUWF2KA
ChIJ8___b4gyWpMRuIFJa4Kprko,Leonardo da Vinci,False,OPERATIONAL,ChIJ8___b4gyWpMRuIFJa4Kprko,"school,point_of_interest,establishment","QS 3 Lote 2 - Águas Claras, Brasília - DF, 70297-400",4.4,118,https://www.google.com/maps/place/?q=place_id:ChIJ8___b4gyWpMRuIFJa4Kprko
