term,place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url,lat,lng
"Centro de Ensino Fundamental 09 St. D Sul QSD – Taguatinga Sul, Brasília – DF – 72020-010",ChIJ____B4MyWpMR6lN2p2zYXx8,CEF 18 - Centro de Ensino Fundamental 18 de Taguatinga,True,CLOSED_TEMPORARILY,ChIJ____B4MyWpMR6lN2p2zYXx8,"primary_school,school,point_of_interest,establishment","QSD 32 AE 01/02, St. D Sul Qsd 32 - Taguatinga, Brasília - DF, 72020-320, Brasil",5,6,https://www.google.com/maps/place/?q=place_id:ChIJ____B4MyWpMR6lN2p2zYXx8,-15.8536495,-48.0482587
"Centro de Ensino Médio 02 Q 36 AE 03, Vila São José – Brazlândia/DF – 72736-000",ChIJ____ByuxW5MRw76ZWfuEWjM,Centro de Ensino Médio 02 de Brazlândia,False,OPERATIONAL,ChIJ____ByuxW5MRw76ZWfuEWjM,"school,point_of_interest,establishment","Q 36 Ae 03, Vila São José - Brazlândia, DF, 72736-000, Brasil",4.1,18,https://www.google.com/maps/place/?q=place_id:ChIJ____ByuxW5MRw76ZWfuEWjM,-15.6662533,-48.1970916
"Centro de Ensino Fundamental 20 EQNM 08/10, Ceilândia Norte, Brasília/DF – CEP: 72210-540",ChIJ____P4HMW5MRFIj_iZ4FZIM,CEF 20 de Ceilândia,False,OPERATIONAL,ChIJ____P4HMW5MRFIj_iZ4FZIM,"school,secondary_school,point_of_interest,establishment","Eqnm 08/10, Ceilândia Norte - Ceilândia, Brasília - DF, 72210-540, Brasil",4.4,26,https://www.google.com/maps/place/?q=place_id:ChIJ____P4HMW5MRFIj_iZ4FZIM,-15.8009616,-48.1162447
"Centro Educacional 123 Qr 123 Ae Setor Sul, St. Sul – Samambaia Sul, DF – 72303-000",ChIJ____X2DSW5MRNkjsuIXdmQU,Centro Educacional 123 De Samambaia,False,OPERATIONAL,ChIJ____X2DSW5MRNkjsuIXdmQU,"school,primary_school,point_of_interest,establishment","Qr 123 Ae Setor Sul, St. Sul - Samambaia Sul, DF, 72303-000, Brasil",3.7,22,https://www.google.com/maps/place/?q=place_id:ChIJ____X2DSW5MRNkjsuIXdmQU,-15.8937745,-48.1227628
"CEF Metropolitana RUA 01 – LT 06 – PRACA DA METROPOLITANA –Núcleo Bandeirante, Brasília – DF – 71730-055",ChIJ__8_QyI7WpMRCOXnibTvBB4,CEF Metropolitana,False,OPERATIONAL,ChIJ__8_QyI7WpMRCOXnibTvBB4,"secondary_school,school,point_of_interest,establishment","Metropolitana - Núcleo Bandeirante, Brasília - DF, Brasil",4.7,17,https://www.google.com/maps/place/?q=place_id:ChIJ__8_QyI7WpMRCOXnibTvBB4,-15.8815144,-47.9748803
"Escola Classe Vila Nova Rua 31 – 200, 200, Sao Sebastao Sao Jose – São Sebastião, DF – 71693-032",ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,EC Vila Nova,True,CLOSED_TEMPORARILY,ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,"school,point_of_interest,establishment","Rua 31 - 200, 200, Sao Sebastao Sao Jose - São Sebastião, DF, 71693-032, Brasil",3.6,18,https://www.google.com/maps/place/?q=place_id:ChIJ_-WpZYQfWpMRKl4gGfTBtWQ,-15.9137922,-47.7593808
"CAIC Juscelino Kubitschek Park Way Trecho 2 Q 6 – Núcleo Bandeirante, Brasília – DF – 70297-400",ChIJ_0ZfAFQuWpMRxudn7tIHQdA,Cursinho Portal,True,CLOSED_TEMPORARILY,ChIJ_0ZfAFQuWpMRxudn7tIHQdA,"school,point_of_interest,establishment","3ª Avenida - bl Klmn lj 38 - Núcleo Bandeirante, DF, 71720-590, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ_0ZfAFQuWpMRxudn7tIHQdA,-15.8701621,-47.96620979999999
"Centro de Ensino Fundamental 05 St. Oeste Q 26 – Gama, Brasília – DF – 72420-260",ChIJ_1AgiqkqWpMR20vGBb-xjek,Centro De Ensino Fundamental 05 Do Gama,True,CLOSED_TEMPORARILY,ChIJ_1AgiqkqWpMR20vGBb-xjek,"school,hospital,health,point_of_interest,establishment","St. Oeste Q 26 - Gama, Brasília - DF, 72420-260, Brasil",4.4,17,https://www.google.com/maps/place/?q=place_id:ChIJ_1AgiqkqWpMR20vGBb-xjek,-16.0157511,-48.0779717
"Escola Classe 36 EQNP 05/09 Área Especial, P Norte, Ceilândia, Brasília/DF – CEP: 72240-415",ChIJ_7BjC2fMW5MRKbN_mtMlWts,Escola Classe 36,False,OPERATIONAL,ChIJ_7BjC2fMW5MRKbN_mtMlWts,"school,point_of_interest,establishment","St. P EQNP 9/5 Conjunto P - Ceilândia, Brasília - DF, 72240-415, Brasil",3.5,8,https://www.google.com/maps/place/?q=place_id:ChIJ_7BjC2fMW5MRKbN_mtMlWts,-15.8177364,-48.1267771
"Jardim de Infância 116 QR 116 – Santa Maria Norte, Santa Maria – DF – 72546-408",ChIJ_8vph1GHWZMR2KGA9_0DZcY,JI 116 de Santa Maria,True,CLOSED_TEMPORARILY,ChIJ_8vph1GHWZMR2KGA9_0DZcY,"school,point_of_interest,establishment","QR 116 - Santa Maria Norte, Brasília - DF, 72546-408, Brasil",3.9,8,https://www.google.com/maps/place/?q=place_id:ChIJ_8vph1GHWZMR2KGA9_0DZcY,-16.002341,-47.996039
